account,platform,type,status
@mayawellnessguide,tiktok,main,active
@kaylaholistichealth,tiktok,main,active
@emmaisglowingup,tiktok,main,active
@lillywellness,tiktok,main,active
@sylva.discipline,tiktok,main,active
@rosaholistichealth,tiktok,main,active
@sylva.wellness,tiktok,main,active
@monica_holistichealth,tiktok,main,active
@sylva.feminine.energy,tiktok,main,active
@sylva_ig_1,instagram,main,active
@sylva_ig_2,instagram,main,active
@sylva_ig_3,instagram,main,active
@sylva_ig_4,instagram,main,active
@sylva_ig_5,instagram,main,active
